elem,joint_s1_x,joint_s1_y,joint_s1_z,joint_s2_x,joint_s2_y,joint_s2_z,c0_s1_x,c0_s1_y,c0_s1_z,c0_s2_x,c0_s2_y,c0_s2_z,c1_s1_x,c1_s1_y,c1_s1_z,c1_s2_x,c1_s2_y,c1_s2_z,c2_s1_x,c2_s1_y,c2_s1_z,c2_s2_x,c2_s2_y,c2_s2_z
1,9.201534098006623e-17,0.0,0.003204676108156501,8.606583876857518e-17,0.0,0.017883894196078887,-0.017466993738932932,-0.0,0.009646415405946546,-0.017466993738932932,-0.0,0.016139168153674083,0.008733496869466463,-0.015126860305659656,0.009646415405946546,0.008733496869466463,-0.015126860305659656,0.016139168153674083,0.008733496869466473,0.015126860305659651,0.009646415405946546,0.008733496869466473,0.015126860305659651,0.016139168153674083
2,8.606583876857518e-17,0.0,0.017883894196078887,8.695692954798062e-17,0.0,0.03640117213180455,-0.01593118892188818,-0.0,0.025255268475958825,-0.015931188921888183,-0.0,0.03344563028389033,0.007965594460944086,-0.013796814318844388,0.025255268475958825,0.007965594460944088,-0.01379681431884439,0.03344563028389033,0.007965594460944097,0.013796814318844384,0.025255268475958825,0.007965594460944098,0.013796814318844386,0.03344563028389033
3,8.695692954798062e-17,0.0,0.03640117213180455,8.863024045213806e-17,0.0,0.053493422344363994,-0.014705177952268814,-0.0,0.04320527012285172,-0.014705177952268816,-0.0,0.05076532910336029,0.0073525889761344035,-0.012735057673835625,0.04320527012285172,0.007352588976134404,-0.012735057673835627,0.05076532910336029,0.007352588976134414,0.012735057673835622,0.04320527012285172,0.007352588976134415,0.012735057673835624,0.05076532910336029
4,8.863024045213806e-17,0.0,0.053493422344363994,9.112811586691158e-17,0.0,0.06927031019703789,-0.013573516682787773,-0.0,0.059773899730804075,-0.013573516682787768,-0.0,0.0667521618795433,0.006786758341393884,-0.011755010265986096,0.059773899730804075,0.006786758341393881,-0.011755010265986092,0.0667521618795433,0.006786758341393893,0.011755010265986094,0.059773899730804075,0.00678675834139389,0.011755010265986089,0.0667521618795433
5,9.112811586691158e-17,0.0,0.06927031019703789,8.897336365970773e-17,0.0,0.08383306157385487,-0.01252894427635893,-0.0,0.07506746306777637,-0.012528944276358936,-0.0,0.08150870152134879,0.006264472138179463,-0.010850384025926476,0.07506746306777637,0.006264472138179465,-0.010850384025926479,0.08150870152134879,0.0062644721381794706,0.010850384025926472,0.07506746306777637,0.006264472138179473,0.010850384025926477,0.08150870152134879
6,8.897336365970773e-17,0.0,0.08383306157385487,6.471614565819228e-18,0.0,0.09727511235366326,-0.011564758665612646,-0.0,0.08918408496568665,-0.011564758665612681,-0.0,0.0951296272699802,0.0057823793328063205,-0.010015374793056779,0.08918408496568665,0.005782379332806338,-0.010015374793056808,0.0951296272699802,0.005782379332806328,0.010015374793056775,0.08918408496568665,0.005782379332806346,0.010015374793056806,0.0951296272699802
7,6.471614565819228e-18,0.0,0.09727511235366326,4.20263301853935e-18,0.0,0.10968270790285269,-0.01067477355184875,-0.0,0.10221433889786233,-0.010674773551848751,-0.0,0.10770233216917785,0.005337386775924372,-0.00924462507554726,0.10221433889786233,0.005337386775924373,-0.009244625075547262,0.10770233216917785,0.005337386775924379,0.009244625075547257,0.10221433889786233,0.00533738677592438,0.009244625075547259,0.10770233216917785
8,4.20263301853935e-18,0.0,0.10968270790285269,3.86093730327488e-18,0.0,0.12113545643312276,-0.009853278713206286,-0.0,0.11424182810631889,-0.009853278713206284,-0.0,0.1193074837865846,0.00492663935660314,-0.008533189676205089,0.11424182810631889,0.004926639356603139,-0.008533189676205087,0.1193074837865846,0.004926639356603147,0.008533189676205087,0.11424182810631889,0.004926639356603146,0.008533189676205085,0.1193074837865846
9,3.86093730327488e-18,0.0,0.12113545643312276,4.5614159544602634e-18,0.0,0.13170683977468983,-0.009095003367383819,-0.0,0.12534372200742921,-0.009095003367383817,-0.0,0.1300195417838731,0.004547501683691908,-0.0078765039636594,0.12534372200742921,0.004547501683691907,-0.0078765039636594,0.1300195417838731,0.004547501683691914,0.007876503963659399,0.12534372200742921,0.004547501683691913,0.007876503963659397,0.1300195417838731
10,4.5614159544602634e-18,0.0,0.13170683977468983,3.782874582504538e-18,0.0,0.14146468484209795,-0.008395082353841793,-0.0,0.1355912513176074,-0.008395082353841794,-0.0,0.13990723565640814,0.0041975411769208945,-0.007270354585289455,0.1355912513176074,0.004197541176920895,-0.007270354585289456,0.13990723565640814,0.0041975411769209,0.007270354585289453,0.1355912513176074,0.004197541176920901,0.007270354585289454,0.13990723565640814
